line;num;key_in_map;inferred;dup;also_numbers;topic;file;also_topics;auto_topic;margin;section;first_words
131;;б/н;;;;devops;devops-deploy.md;;devops;2;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);Bind-монтирование ФАЙЛА ломается при правке: `sed -i` и запись из Pyt…
135;;б/н;;;;devops;devops-deploy.md;;devops;3;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);НЕ чистить кэш docker при итеративной сборке. `builder prune --filter…
140;;б/н;;;;devops;devops-deploy.md;mesh;devops;3;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);Кэш buildkit чистится САМ при нехватке диска: «инкрементальная» перес…
145;;б/н;;;;devops;devops-deploy.md;mesh;mesh;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);Чужой requirements — источник истины, мы ДОПОЛНЯЕМ. Свой список рядом…
148;;б/н;;;;devops;devops-deploy.md;mesh;devops;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);Зелёная сборка ≠ рабочий артефакт: шаг, способный «успешно» ничего не…
150;;б/н;;;;devops;devops-deploy.md;;mesh;0;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);`cd` в фоновой команде не переживает вызов (дважды): `docker build .`…
153;;б/н;;;;devops;devops-deploy.md;mesh;devops;3;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);Внешние пины протухают: `bpy==4.0` исчез с PyPI, официальный Dockerfi…
155;;б/н;;;;devops;devops-deploy.md;;devops;3;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);Свежий pip изолирует сборку: `setup.py` с импортом torch требует `--n…
157;;б/н;;;;mesh;mesh-salad-pool.md;;viz;3;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);VLM перед/зад: работает ТОЛЬКО промпт с признаками сторон роли (qwen3…
159;;б/н;;;;devops;devops-deploy.md;mesh;devops;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);Шлюз Vercel: max_tokens ≥ 16 (иначе 400). nohup без -u — пустой лог, …
162;;б/н;;;;mesh;mesh-salad-pool.md;memory;layout;0;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);Конвенции 3D — только исполняемым замером, чтение перспективных ренде…
165;303;303a;;dup;;layout;layout-solver.md;;layout;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[26.08] Диагностика через глобальную переменную врёт: `_axis_contract…
166;;б/н;;;;layout;layout-solver.md;devops+viz;layout;0;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);solver без габаритов — условная комната, `| head -1` убивает до запис…
169;;б/н;;;;viz;viz-render.md;;viz;3;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);gpt-image: координаты/depth — не управляющий вход, работает геометрия…
171;13;13;;;;devops;devops-deploy.md;;devops;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] Lint копий (UUI) валит CI-гейт → полный lint до пуша, пу…
172;14;14;;;;devops;devops-deploy.md;;demo;0;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] standalone без `.next/static` = CSS 404 («сайт голый») →…
173;15;15;;;;estimate;estimate-ads-leads.md;;demo;0;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] Препролёт гасит маркеры/рамки, внеслойный CSS сильнее ЛЮ…
174;16;16;;;;estimate;estimate-ads-leads.md;;layout;0;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] Перенос CSS в утилити молча теряет media-query → скрин-п…
176;17;17;;;;estimate;estimate-ads-leads.md;;estimate;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] RAC Tooltip не работает на таче → подсказки через hint-p…
177;18;18;;;;estimate;estimate-ads-leads.md;;estimate;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] `a{color:inherit}` вне слоёв перебил text-white кнопок →…
178;1;1;;;;devops;devops-deploy.md;;devops;2;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-28] `./deploy.sh` (QEMU) OOM'ит DEV-VM → деплой только авто …
179;2;2;;;;estimate;estimate-ads-leads.md;;estimate;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-30..31] UI-мелочи-как-баг → `anti-patterns.md` §6.
180;3;3;;;;estimate;estimate-ads-leads.md;;estimate;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-30] «за м²» падала в «за упак» → единицы тестить одной фикст…
181;4;4;;;;estimate;estimate-ads-leads.md;;estimate;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-30] ИИ-фолбэк молча отдавал `{}` → неуспех внешнего вызова в…
182;5;5;;;;catalog;catalog-stock.md;;estimate;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-30] Ozon/WB банят по репутации IP (пулы не спасают) → только…
183;6;6;;;;devops;devops-deploy.md;;devops;2;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-30] `git add -A` захватил чужой staged-код → worktree для аг…
184;7;7;;;;estimate;estimate-ads-leads.md;;estimate;4;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] Молчаливый дефолт давал «2 рулона» до ввода → дефолт — ф…
185;8;8;;;;memory;memory-process.md;estimate;estimate;2;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] Удаление функциональности — только с явного «да» владель…
186;9;9;;;;estimate;estimate-ads-leads.md;;estimate;2;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] Цель аналитики — на РЕАЛЬНОЕ действие, не кнопку-пустышк…
187;10;10;;;;memory;memory-process.md;;devops;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] Память врала про деплой 10 дней → живой факт (CI/health)…
188;11;11;;;;estimate;estimate-ads-leads.md;;estimate;4;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] Порядок блоков — по задаче юзера, монетизация после (ADR…
189;12;12;;;;devops;devops-deploy.md;;devops;1;Архив уроков июля 2026 (из core/lessons.md, перенос 2026-08-02);[2026-07-31] Текстовые e2e-локаторы — с /i и скоупом к контейнеру (ge…
193;20;20;;;;viz;viz-render.md;;viz;2;Архив уроков 20–25 (август, вшиты в pipeline2/compose2/load3);[08-02] роль в промпте без вклейки → «текстовый клон», промпт/QA толь…
194;21;21;;;;viz;viz-render.md;;viz;1;Архив уроков 20–25 (август, вшиты в pipeline2/compose2/load3);[08-02] VLM-боксы врут → инпейнт-маски только по нашим bbox (≤12%/18%…
195;22;22;;;;catalog;catalog-stock.md;;catalog;5;Архив уроков 20–25 (август, вшиты в pipeline2/compose2/load3);[08-02] `available` в фидах Гдеслона не проставляется → наличие тольк…
196;23;23;;;;catalog;catalog-stock.md;;catalog;4;Архив уроков 20–25 (август, вшиты в pipeline2/compose2/load3);[08-02] mnogomebeli/divanboss: карточки из фида 404 (SPA) → URL резат…
197;24;24;;;;catalog;catalog-stock.md;;catalog;0;Архив уроков 20–25 (август, вшиты в pipeline2/compose2/load3);[08-02] compose недетерминирован → утверждённые составы замораживать …
198;25;25;;;;devops;devops-deploy.md;;devops;3;Архив уроков 20–25 (август, вшиты в pipeline2/compose2/load3);[08-02] pip на DEV-VM только venv (PEP 668), большие файлы на диск, н…
201;19;19;;;;layout;layout-solver.md;;layout;3;Архив уроков 19, 26–31 (август, вшиты в код/ADR);[2026-08-01] ML-модели расстановки мебели: все на 3D-FRONT → NC. НЕ п…
202;26;26;;;;memory;memory-process.md;;memory;3;Архив уроков 19, 26–31 (август, вшиты в код/ADR);[08-02] правило владельца: решения только масштабируемые, точечные фи…
203;27;27;;;;devops;devops-deploy.md;;devops;1;Архив уроков 19, 26–31 (август, вшиты в код/ADR);[08-02] psql глотает SQL-ошибки тихо (rc=0) → guard на объём выборки.
204;28;28;;;;viz;viz-render.md;;demo;1;Архив уроков 19, 26–31 (август, вшиты в код/ADR);[08-02] служебная графика черновика материализуется в предмет — марке…
